"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","War.gov/local D28 PDF filename and metadata say East China Sea, 2024; report body says USCENTCOM / Operation Inherent Resolve / OKAS / Ayn Al Asad ROZ Raindrop","metadata mismatch","Use Iraq / Ayn Al Asad body metadata for event analysis; retain East China Sea as release-title discrepancy."
"event time","Initial UAP contact `202027:59ZSEP24`; event serial `202027ZSEP2024-CENTCOM`","strong preserved anchor","Useful for future video/log matching."
"mission phase","Call for fire at approximately `2025Z` to employ `AGM-176`; event occurred after weapons release and before munition impact","strong contextual anchor","Constrains the observation to an active weapons-employment sequence but does not provide exact release/impact duration."
"sensor claim","IR signature / lens flare detectable by `MX-20` and `MX-25`","strong report claim, no raw imagery","High-value dual-sensor lane, but still report-only without frames or telemetry."
"observer characterization","High rate of speed, significant heat source, predetermined path, possible detachment","qualitative and partly uncertain","Do not convert to speed, propulsion, maneuver, or object-count claims."
"kinematic fields","Altitude, depth, velocity, and trajectory fields are blank; detailed first/last coordinates are redacted or blank","public data insufficient","No public speed/range/size/trajectory derivation is defensible."
"negative controls","No observed response, no equipment/person effects, no recovered material, no observer engagement, no reported additional aircraft","useful but incomplete controls","Supports unresolved operational observation; does not exclude weapon/sensor/range confounds."
"video pairing","No DVIDS/PR page found naming D28 or unique anchors; PR46 is INDOPACOM standalone and no written/oral description","no hard pair","Keep D28 document-only unless new official metadata appears."
"corpus uniqueness","Local scan found `AGM-176`, `MX-20`, `MX-25`, `202027ZSEP2024-CENTCOM`, `AYN AL ASAD`, and `ROZ RAINDROP` only in D28 and derived notes","single-document lane","Do not infer a related case from label similarity alone."
"next evidence needed","Raw MX-20/MX-25 imagery, release/impact timestamps, sensor pointing/FOV/range, platform attitude, and AARO notes","specific follow-up requirement","These are prerequisites for promoting D28 into a physical-performance or video-evidence case."

