video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,detection_mode,candidate_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_area,fill_ratio,polarity,top_third_proxy,component_max_luma,component_min_luma,component_mean_luma,local_median_luma,contrast_delta,distance_from_reticle_px,distance_from_annotation_focus_px,edge_margin_px,detection_threshold,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689082.mp4,DOW-UAP-PR40,0,0.0,0,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,medium,compact-contrast,7,928.7,454.6,926,451,7,9,52,0.825,bright,yes,97,86,92.92,75.0,24.0,90.93,76.87,155.37,14.0,478.575,initial compact contrast candidate near the later annotation area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0000_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,1,1.0,30,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,low,compact-contrast,2,1380.0,336.5,1379,336,3,2,6,1.0,bright,yes,144,142,143.0,128.0,15.0,466.7,514.58,125.0,14.0,219.015,initial candidate is weak or not close to the later annotation area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0001_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,2,2.0,60,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,low,compact-contrast,3,1366.9,398.4,1365,397,5,4,17,0.85,dark,yes,108,100,103.47,117.0,16.0,430.81,496.93,138.12,14.0,243.472,initial candidate is weak or not close to the later annotation area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0002_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,3,3.0,90,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,medium,compact-contrast,6,867.5,420.4,865,418,6,5,22,0.733,dark,yes,149,139,142.95,159.0,18.0,151.23,15.57,189.64,14.0,463.362,initial compact contrast candidate near the later annotation area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0003_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,4,4.0,120,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,none,compact-contrast,0,,,,,,,,,,no,,,,,,,,,,,no compact contrast candidate survived overlay and redaction filtering,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0004_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,5,5.0,150,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,medium,compact-contrast,6,921.2,354.2,918,350,7,10,54,0.771,bright,yes,96,80,87.54,69.0,27.0,189.83,72.18,255.83,14.0,497.771,initial compact contrast candidate near the later annotation area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0005_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,6,6.0,180,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,high,compact-contrast,8,928.4,290.8,925,285,8,12,79,0.823,bright,yes,98,74,86.06,66.0,31.0,251.22,128.29,200.77,14.0,493.523,compact brightening candidate near the later reporter-annotated area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0006_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,7,7.0,210,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,high,compact-contrast,5,992.1,303.6,986,299,13,11,98,0.685,bright,yes,97,78,88.48,69.0,28.0,238.61,158.77,213.56,14.0,450.614,compact brightening candidate near the later reporter-annotated area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0007_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,8,8.0,240,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,high,compact-contrast,5,1033.5,367.7,1030,363,8,11,75,0.852,bright,yes,107,79,94.03,73.5,33.0,187.3,167.68,242.28,14.0,454.782,compact brightening candidate near the later reporter-annotated area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0008_patch.jpg
DOD_111689082.mp4,DOW-UAP-PR40,9,9.0,270,initial brightening,DVIDS 00:00-00:09: area of contrast brightens and becomes distinct,high,compact-contrast,1,957.4,420.8,952,418,12,7,69,0.821,bright,yes,115,87,99.74,80.0,35.0,119.22,88.82,189.19,14.0,551.817,compact brightening candidate near the later reporter-annotated area,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr40-top-third-review/DOD_111689082/target-patches/frame_0009_patch.jpg
