"event_date_utc","event_dtg","source_file","region_or_context","record_type","sensor_or_observation","reported_object","reported_behavior","key_caveats","priority"
"2020-05-00","","dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf","Middle East / over water","range-fouler debrief","ISR / sensor operator","solid white object","Crossed ISR field of view, temporarily lost, reacquired, appeared to move erratically over water before track loss","Stable trackfile intermittent; poor track placement noted; exact date not extracted","high"
"2020-07-16","161830ZJUL20","dow-uap-d65-mission-report-persian-gulf-july-2020.pdf","Arabian Gulf / Strait of Hormuz / Gulf of Oman context","mission report / OCR","FMV","unidentified aerial phenomenon","One UAP observation near redacted grid","OCR-derived; sparse detail; weather not a factor in recovered observation","medium"
"2020-07-16","161920ZJUL20","dow-uap-d65-mission-report-persian-gulf-july-2020.pdf","Arabian Gulf / Strait of Hormuz / Gulf of Oman context","mission report / OCR","FMV","unidentified aerial phenomenon","Second UAP observation near redacted grid","OCR-derived; sparse detail; weather not a factor in recovered observation","medium"
"2020-07-16","162345ZJUL20","dow-uap-d65-mission-report-persian-gulf-july-2020.pdf","Arabian Gulf / Strait of Hormuz / Gulf of Oman context","mission report / OCR","FMV","unidentified aerial phenomenon","Third UAP observation near redacted grid","OCR-derived; sparse detail; weather not a factor in recovered observation","medium"
"2020-08-08","080726ZAUG20","dow-uap-d60-mission-report-persian-gulf-august-2020.pdf","Arabian Gulf / Strait of Hormuz / Gulf of Oman context","mission report / OCR","FMV","1x UAP","Observed one UAP with no mission impact","OCR-derived; observation field says transiting; sparse detail","medium"
"2020-08-27","271527ZAUG20","dow-uap-d61-mission-report-persian-gulf-august-2020.pdf","Persian Gulf coastal context","mission report","sensor","formation of unknown flying objects","Formation traveled NE-NW along coast and was tracked for about two minutes before PID was lost","Light cloud cover prevented continuous tracking","medium"
"2020-08-00","","dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf","North Arabian Sea","range-fouler debrief","aircrew / sensor","3x possible unidentified small air contacts","Initially one contact, then two more after cloud; maintained relative course/speed/altitude","Negative ES, radar track, and IFF track; distance/speed/course unknown","high"
"2020-09-16","161732ZSEP20","dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf","Strait of Hormuz","mission report","FMV","UAP","Observed one UAP near redacted grid","Sparse detail; weather was not a factor","medium"
"2020-09-00","","dow-uap-d57-mission-report-gulf-of-aden-september-2020.pdf","Gulf of Aden","range-fouler-style report","IR","round cold object","Tracked round cold object over Gulf of Aden; sensor geometry includes slant and ground range","Exact date not extracted; OCR has uncertain slant-range character","high"
"2020-10-00","","dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf","Gulf of Aden / Arabian Sea context","range-fouler debrief","IR / black-hot sensor","round cold object","Tracked at 19,073 HAT, made abrupt directional changes during about a minute of contact","OCR noise in direction/speed line; sensor angle, slant range, and ground range extracted","high"
