"field","preserved_value","strength","use","caveat","follow_up"
"source identity","DoW-UAP-D58 range-fouler debrief, October 2020","strong source-format anchor","Use as a document-only range-fouler case","PDF metadata may conflict with other local identities; rely on filename/body unless official release index corrects it","Check official release index metadata when browsing is authorized"
"date and time","10/27/20 01:12:21Z","direct form field","Anchor timeline and source requests","No duration or full interaction timeline is public","Request target-pod/radar timeline around this DTG"
"mission context","Night DCA mission, LFE No","direct form field","Frame the event as operational/range-fouler context","Platform identity and tasking details are redacted or not public","Request mission package or KINGPIN tasking context"
"contact count","2 contacts in group","direct form field","Use as core event descriptor","Does not prove two independent physical objects without sensor data","Request radar/target-pod tracks for both contacts"
"contact altitude","26000; altitude constant No","direct form field","Use as reported altitude context","Units and time history are not independently resolved","Request radar track altitude and platform geometry"
"movement","Was contact moving Yes; direction/speed 060/20","direct form field","Use as reported movement field only","Do not convert into validated speed/heading without context","Request track table/range-bearing time series"
"radar tracking","Stable Trackfile Yes; radar lock obtained","direct narrative and form field","High-value sensor anchor","No radar mode, track quality, range history, or raw data public","Request radar logs/trackfile metadata"
"target-pod video","Target pod video obtained; target pod showed 2 IR significant contacts","direct narrative text","High-value missing-media anchor","Video is not public and no public PR pairing is known","Request full target-pod video and still frames"
"closest range","Unable to get closer than 16.9NM","direct narrative text","Use as reported closest-range floor/limit","Not a full range-time series and not enough for geometry reconstruction","Request range-time series and platform position"
"visual tally","2x red blinking strobes","direct narrative text","Use as observed visual/tally detail","Strong conventional aircraft/drone confound","Compare against known friendly/coalition/other traffic and lighting"
"jamming","Noise jamming received; indicated by two chevrons","direct narrative text","Use as strongest EW-interest detail","No EW receiver metadata, frequency, bearing, or jammer ID public","Request EW system logs and indications"
"relative behavior","One range fouler reported circling around the other","direct narrative text, OCR timing noisy","Use as qualitative behavior only","Do not infer impossible turn rate or acceleration from OCR phrase","Request video/radar to verify relative motion"
"shape and appearance checkboxes","Balloon-shaped, metallic, opaque, reflective, and other shape appear marked","lower confidence OCR/form extraction","Use as weak appearance context","Checkbox extraction is noisy and less reliable than narrative fields","Confirm by page render or source image review"
"first detection cue","B/E ZIM 248/17 followed by redaction","direct narrative text with redaction","Use as source-request anchor","Unredacted bullseye/coordinate context is not public","Request unredacted bullseye or coordinate context"
"hard video pairing","No public DVIDS/PR page explicitly paired to D58 found in current local notes","negative corpus finding","Keep D58 document-only for now","Count-compatible videos are not enough for correlation","Search official metadata for D58, 10/27/20, 01:12:21Z, 16.9NM, KINGPIN, noise jamming"
"unsupported claims","Non-human origin, impossible acceleration, validated physical circling, PR44/PR42/PR47 pairing","analytic constraint","Prevent overclaiming","Public release lacks raw data and hard video pairing","Promote only if new official source material appears"
