video,release_id,sample_index,approx_second,source_frame_index,dvids_phase,dvids_anchor,review_quality,candidate_group_count,target_center_x,target_center_y,bbox_x0,bbox_y0,bbox_w,bbox_h,component_count,star_like_proxy,component_area,component_min_luma,dark_contrast_delta,fill_ratio,aspect_ratio,distance_from_reticle_px,edge_margin_px,raw_score,caveat,annotated_frame_path,zoom_patch_path
DOD_111689051.mp4,DOW-UAP-PR38,0,0.0,0,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,none,7,848.0,468.5,834,458,29,23,1,yes,333,46,79.0,0.4993,1.261,132.88,368.55,1202.894,"pre-zoom mark is too weak, edge-confounded, or inconsistent with the central area",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0000_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0000_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,1,1.0,30,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,none,0,,,,,,,,no,,,,,,,,,no dark star-like contrast group survived overlay filtering,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0001_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0001_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,2,2.0,60,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,none,9,354.4,898.6,317,865,90,101,3,yes,704,4,152.0,0.0774,1.122,703.83,71.37,2915.39,"pre-zoom mark is too weak, edge-confounded, or inconsistent with the central area",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0002_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0002_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,3,3.0,90,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,9,975.8,642.5,945,617,73,52,3,yes,1268,30,81.0,0.334,1.404,103.73,327.48,2541.173,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0003_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0003_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,4,4.0,120,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,11,949.8,638.6,913,617,66,59,2,yes,1398,25,83.0,0.359,1.119,99.09,331.44,2633.604,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0004_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0004_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,5,5.0,150,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,8,1023.0,791.6,995,771,68,40,1,yes,1128,5,116.0,0.4147,1.7,259.41,178.37,2257.018,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0005_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0005_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,6,6.0,180,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,none,6,365.6,222.7,338,211,36,35,1,yes,214,0,103.0,0.1698,1.029,673.8,122.67,1315.586,"pre-zoom mark is too weak, edge-confounded, or inconsistent with the central area",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0006_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0006_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,7,7.0,210,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,8,1059.9,802.4,1028,781,63,40,1,yes,1053,11,115.0,0.4179,1.575,280.78,167.6,2175.376,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0007_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0007_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,8,8.0,240,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,8,1083.7,791.9,1050,770,75,41,1,yes,1177,17,107.0,0.3828,1.829,280.65,178.08,2257.181,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0008_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0008_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,9,9.0,270,initial star-like contrast,DVIDS 00:00-00:09: initial area of contrast before zoom,medium,8,1070.1,794.5,1047,774,58,43,1,yes,1039,16,108.0,0.4166,1.349,277.32,175.48,2114.24,initial area recovered; support capped because target is small before zoom,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0009_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0009_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,10,10.0,300,zoom-in event,DVIDS 00:10: sensor field of view narrows to zoom in on the area of contrast,high,9,1016.5,770.2,977,747,91,46,1,yes,1337,15,105.0,0.3194,1.978,237.03,199.79,2446.129,dark star-like contrast group recovered in the sensor field,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0010_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0010_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,11,11.0,330,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",low,7,1152.5,959.8,1020,942,260,28,1,yes,2976,0,110.0,0.4088,9.286,461.83,10.2,3067.568,weak or partially overlay-confounded dark contrast group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0011_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0011_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,12,12.0,360,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,396.0,940.7,369,930,37,36,1,yes,236,4,124.0,0.1772,1.028,691.82,29.34,1463.098,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0012_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0012_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,13,13.0,390,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,396.1,940.6,369,930,37,36,1,yes,231,4,119.0,0.1734,1.028,691.7,29.41,1424.357,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0013_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0013_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,14,14.0,420,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,6,1282.1,942.6,1235,882,91,88,2,yes,2119,1,73.0,0.2646,1.034,515.6,27.42,3319.038,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0014_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0014_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,15,15.0,450,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,8,1304.6,736.7,1190,665,240,99,1,yes,4830,0,112.0,0.2033,2.424,396.79,233.29,4018.096,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0015_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0015_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,16,16.0,480,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,6,1267.7,717.8,1149,632,243,129,6,yes,5459,0,103.0,0.1741,1.884,355.42,252.2,8376.088,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0016_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0016_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,17,17.0,510,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,1238.3,715.3,1129,639,226,126,3,yes,5666,1,99.0,0.199,1.794,328.88,254.7,5378.327,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0017_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0017_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,18,18.0,540,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,4,1228.2,702.0,1125,621,214,173,5,yes,5452,0,110.0,0.1473,1.237,313.34,268.03,6894.808,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0018_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0018_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,19,19.0,570,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,1216.9,682.4,1106,595,216,181,4,yes,5547,0,115.0,0.1419,1.193,293.77,287.55,6138.919,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0019_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0019_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,20,20.0,600,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,1227.1,667.0,1106,582,244,178,5,yes,5796,3,99.0,0.1334,1.371,295.7,303.04,7893.341,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0020_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0020_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,21,21.0,630,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,6,1244.4,686.5,1128,611,234,150,6,yes,5757,3,96.0,0.164,1.56,319.93,283.52,6565.93,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0021_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0021_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,22,22.0,660,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",low,8,1582.5,769.4,1573,727,21,74,1,no,1160,79,43.0,0.7465,3.524,663.43,142.47,1402.057,weak or partially overlay-confounded dark contrast group,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0022_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0022_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,23,23.0,690,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",medium,7,1576.5,950.9,1519,927,109,43,2,yes,2336,2,75.0,0.4984,2.535,740.91,19.08,3290.545,"usable star-like group, but contrast, size, or overlay separation is weaker",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0023_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0023_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,24,24.0,720,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",medium,8,1563.5,945.9,1479,927,161,43,4,yes,1175,5,59.0,0.1697,3.744,727.26,24.14,2298.735,"usable star-like group, but contrast, size, or overlay separation is weaker",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0024_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0024_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,25,25.0,750,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,6,1382.6,641.6,1231,525,250,243,9,yes,5903,3,89.0,0.0972,1.029,434.68,328.38,9826.554,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0025_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0025_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,26,26.0,780,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,5,1301.0,550.3,1131,424,350,243,8,yes,6015,1,90.0,0.0707,1.44,341.15,419.67,9774.97,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0026_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0026_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,27,27.0,810,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,6,1215.9,697.2,1052,586,323,222,9,yes,6118,2,88.0,0.0853,1.455,300.36,272.77,10547.516,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0027_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0027_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,28,28.0,840,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",medium,8,1050.3,776.3,974,694,148,122,4,yes,3688,6,56.0,0.2043,1.213,252.98,193.7,5294.088,"usable star-like group, but contrast, size, or overlay separation is weaker",research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0028_patch.jpg
DOD_111689051.mp4,DOW-UAP-PR38,29,29.0,870,star-like movement with trail,"DVIDS 00:11-00:29: area of contrast moves in field of view, followed by a visible trail",high,7,782.6,834.4,707,721,155,238,10,yes,5575,0,71.0,0.1511,1.535,343.73,135.58,9279.169,dark star-like contrast group recovered during DVIDS trail/movement interval,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/annotated-frames/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr38-startrail-review/DOD_111689051/target-patches/frame_0029_patch.jpg
