"item","local_file","official_release_or_report","date_or_location","object_count_or_description","sensor_or_context","correlation_status","confidence","notes"
"D38 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.txt","DoW-UAP-D38 / DOW-UAP-PR36","Middle East, May 2020; local form date 2020-05-14 20:40Z","single solid white/round object; erratic movement above water","ISR, black-hot IR, temporary loss and reacquire, zoom/tracking loss","Hard paired externally to DOD_111689030 by DVIDS","high","DVIDS PR36 states accompanying Range Fouler report DoW-UAP-D38; local d38 text matches the erratic white object over water description."
"DOD_111689030 video","source-files-not-included/DOD_111689030.mp4","DOW-UAP-PR36 / DoW-UAP-D38","Middle East, May 2020","area of contrast enters/re-enters field, remains in FOV, reticle appears, sensor loses track after modality switch","IR sensor aboard U.S. military platform per DVIDS","Current hard report-video anchor","high","Earlier local visual triage treated this as medium, but official pairing elevates it analytically."
"D44 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d44-range-fouler-arabian-sea-october-2020.txt","DoW-UAP-D44","Arabian Sea / Gulf of Aden, 2020-10-15","single round cold object in IR; abrupt directional changes","ATFLIR/IR black-hot style range-fouler form","No hard local video match yet","medium for report content; low for video pairing","Do not equate this with DOW-UAP-PR44 unless a source explicitly links them."
"D44/D57/D56/D58 range-fouler cluster","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-range-fouler-cluster-packet.md","War.gov/local range-fouler cluster","2020 maritime range-fouler lane: Gulf of Aden, North Arabian Sea, Middle East","D44/D57 round cold IR objects; D56 three possible unidentified small air contacts; D58 two IR-significant contacts with radar lock, target-pod video, red blinking strobes, and noise jamming","IR black-hot geometry, sensor depression angle, slant/ground ranges, negative ES/radar/IFF in D56, radar/target-pod/EW indicators in D58","High-value cluster packet complete; not one unified phenomenon; no new hard video pairings beyond D38/PR36","high for cluster value; medium for D44/D57 geometry; high for D58 operational interest; low for exotic or physical-performance claims","Keep D44/D57 as Gulf of Aden IR geometry pair, D56 as multi-contact ambiguity lane, and D58 as top unresolved source-request target. Do not map PR44 or DOD_111689115 to local D44/D57/D58 without explicit source metadata."
"DOD_111689115 video","source-files-not-included/DOD_111689115.mp4","DOW-UAP-PR44","Middle East, 2020","single area of contrast tracked for about three minutes; dense pass and follow-on validation support sustained then intermittent compact point-return behavior","IR sensor; zoom/contrast/reticle cycles; over-water context visible locally","Hard release identity, no D report pairing; dense standalone audit and follow-on validation complete","high for PR44 identity; high for standalone video evidence; low for report pairing","Strongest standalone local visual clip. Dense pass produced 446 seeded 5 fps rows; primary validation produced 204/255 high-or-medium rows; late review found 26/51 compact-return detections and 0/4 in loss/exit. DVIDS PR44 says no oral/written description was provided."
"D57 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d57-mission-report-gulf-of-aden-september-2020.txt","DoW-UAP-D57","Gulf of Aden, 2020-09-04 21:09Z","single round cold object, 168 deg at 277 mph, abrupt changes over 8 minutes","IR black-hot; high-altitude/slant-range fields in local report","No hard local video match yet","medium for report content; low for video pairing","Fits the over-water range-fouler evidence lane but not yet a specific MP4."
"D58 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/text/dow-uap-d58-range-fouler-debrief-na-october-2020.txt","DoW-UAP-D58","2020-10-27 01:12Z; location redacted/unclear","two IR-significant contacts; one circling another; red blinking strobes; noise jamming noted","Radar lock and target-pod video reported in form","No hard local video match yet","medium for report content; low for video pairing","DOD_111689090 and DOD_111689142 were considered count-compatible, but official pages do not tie them to D58."
"D74 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d74-source-review.md","War.gov/local DoW-UAP-D74; PDF metadata says DoW-UAP-D42","Syria / Operation Inherent Resolve, 2023-11-09 092153Z","one probable UAP shaped like a bouncy ball in narrative; estimated 424KN; about seven-minute observation","Air ISR mission with FMV/SIGINT collection context; structured UAP fields; no raw video, FOV, range, or telemetry public","High-value document-only case; source review complete; no hard video match yet","high for structured document content; low for physical kinematics/video pairing","Use D74 for event time, event serial 092153ZNOV2023-CENTCOM, pass narrative, estimated speed, and negative controls. Treat shape and 424KN as report-derived; do not infer public kinematics without source video/telemetry."
"D75 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d75-source-review.md","War.gov/local DoW-UAP-D75; PDF metadata says DoW-UAP-D43","Gulf of Aden / redacted 38P MT coordinate lane, 2024-07-14 140517Z","one UAP; description field visibly stops at `UAP HAD`; followed until distance became too far; speed faster than observing platform flying speed","FMV primary sensor in mission section; estimated low altitude; estimated NW trajectory; no observer engagement, equipment/person effects, or recovered material","High-value document-only case; source redaction confirmed; no hard video match yet","high for structured document content; low for shape/speed/video pairing","Page render review confirms the truncated description is source redaction, not OCR failure. Use D75 for event time, coordinate lane, movement, and negative controls only. Do not infer object shape, absolute velocity, or video pairing without new official source metadata."
"D27 report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d27-source-review.md","War.gov/local DoW-UAP-D27; content matches DOW-UAP-PR29 report summary despite DVIDS D8 label","UAE / over water; initial contact 070457:00ZJUN24; event serial printed as 060457ZJUN2024-CENTCOM; filename says United Arab Emirates October 2023","single glowing hot spherical object with vertical unwavering cylindrical pole/bar or possible water reflection; estimated 140 KNOTS","Target pod AN/DAS-1; FMV-supported NIB context; first coordinate redacted 40RFM60 lane; last coordinate redacted 40QFM92 lane","Best written-report content match for DOD_111688964 / PR29 despite DVIDS naming D8; source review complete","high for content match; high for PR29 visual alignment; low for physical kinematics and D8 label reconciliation","D27 contains the pole/bar, water-reflection, 140-knot UAE language summarized on DVIDS PR29. Treat 140 KNOTS as report-derived and do not interpret the pole/bar as a physical appendage without stronger imagery or telemetry."
"D8 local report","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d8-source-review.md","War.gov/local DoW-UAP-D8, Djibouti 2025 title; grid decodes to Eastern Mediterranean","2025 per filename/title; time of day 1653Z; grid 35SQT3423692957 converts to approx 34.2514N, 29.5437E","two round white-hot UAPs moving south about 240 NM/hour","heavily redacted mission-report gentext; no public sensor/video/FOV/range/telemetry","Conflicts with DVIDS PR29's D8 accompanying-report label; source review complete","high for D8/D27 mismatch; high for short report content; low for physical kinematics/video pairing","Local/War.gov D8 describes two white-hot objects and is separate from PR29/D27. Preserve the Djibouti-title / Eastern-Mediterranean-grid mismatch and do not use D8 as the PR29 written report unless an official correction explains the discrepancy."
