"local_manifest_name","source_bucket","date_or_period","record_family","triage_value","evidence_limit","recommended_treatment"
"059uap00011.pdf","state_or_diplomatic_context","2001","State Department context cable","Context on Georgian reporting and Russian false-cover concerns; useful for information-environment history, not physical UAP evidence.","Diplomatic narrative only; no sensor data, object measurements, imagery, or mission record.","Context appendix only."
"059uap00012.pdf","state_or_diplomatic_context","2004","State Department context cable","Context on Turkmenistan UFO-interest/community activity; useful for sociopolitical history.","Civil/context reporting only; no primary observation package or technical data.","Context appendix only."
"059uap00013.pdf","state_or_diplomatic_context","2023","State Department context cable","Context on Mexico congressional and public claims concerning alleged non-human remains.","Public-claim and diplomatic-context record; no independent forensic evidence in this corpus.","Context appendix only; do not use as biological evidence."
"18_100754_ general 1946-7_vol_2.pdf","early_usaf_reporting","1946-1947","Air Materiel Command general file","Early institutional concern over flying disc/saucer reports; useful for origin of official reporting apparatus.","Large historical scan; no extracted local text under current disk constraints; mixed correspondence and reports.","Historical background; candidate for future OCR."
"18_6369445_general_1948_vol_1.pdf","early_usaf_reporting","1948","Air Materiel Command general file","Early reporting and investigation forms; useful for how UFO reporting was standardized.","Large historical scan; likely mixed forms/correspondence; no telemetry or raw imagery available from triage.","Historical background; candidate for future OCR."
"331_120752_numeric_files_1944?1945_37153_german_armament_equipment_documents.pdf","wartime_foo_fighter_context","1944-1945","German armament and wartime intelligence documents","World War II foo-fighter context, including reported lights or objects near aircraft and wartime intelligence framing.","Combat-report context with possible enemy technology, perception, and reporting biases; no modern sensor package.","Historical background; not comparable to modern operational evidence."
"341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf","air_intelligence_reporting","1948","Air Force intelligence report","Includes UFO/saucer reporting tied to the Netherlands; useful for international early-reporting history.","Historical intelligence report; no public raw imagery, calibration, or kinematic reconstruction.","Historical background; candidate for future OCR."
"341_110677_numerical_file_5-2500.pdf","air_intelligence_reporting","1955","Air intelligence numerical file","Eyewitness account in USSR/Azerbaijan region of an unconventional aircraft-like object; useful as a Cold War witness narrative.","Anecdotal historical report; no instrumented measurements or physical evidence.","Witness-history appendix only."
"342_hs1-416511228_box186_319.1-flying-discs-1949.pdf","early_usaf_reporting","1949","Flying Discs case file","Potentially higher-value historical file because it contains incident reports under formal reporting rules with dates, locations, weather, altitudes, movements, and witness data.","Still a scanned historical report set; triage did not extract all event rows or verify calculations.","Future OCR priority among historical files."
"38_143685_box7_incident_summaries_101-172.pdf","project_blue_book_style_summaries","1950s-1960s","Incident summary set","Structured incident-summary records with witness and event fields; useful for broad historical cataloging.","Summary-level records only; triage did not reconstruct original case files or compute physical tracks.","Future OCR and entity-extraction priority."
"38_143685_box7_incident_summaries_173-233.pdf","project_blue_book_style_summaries","1950s-1960s","Incident summary set","Structured incident-summary records with witness and event fields; useful for broad historical cataloging.","Summary-level records only; triage did not reconstruct original case files or compute physical tracks.","Future OCR and entity-extraction priority."
"59_214434_sp_16_[7.18.1963].pdf","policy_or_public_discourse","1963","State Department policy/public-discourse record","Context for official handling of questions about alien races or public UFO claims.","Policy/context record, not a direct observation case.","Context appendix only."
"59_214434_sp_16_7.18.1963.pdf","policy_or_public_discourse","1952 or 1963 filename ambiguity","State Department policy/public-discourse record","Context on increased UFO reporting and official public communication concerns.","Filename/date ambiguity; no technical observation package in triage.","Context appendix only."
