"claim","paper_section","support_artifact","claim_type","status"
"D38/PR36 supports compact point-return behavior","Finding 2","research/ufo-video-d38-anchor-notes.md","Local image-plane observation","Not physical kinematics"
"D33/PR34 shows sharp image-plane turns","Finding 2","research/ufo-pr34-d33-manual-track-notes.md","Local image-plane observation","Not physical kinematics"
"D25/PR28 is visually aligned with the SWIR-only sequence","Finding 2","research/ufo-video-pr28-d25-phase-review-notes.md","Local image-plane observation","Key values remain report-derived"
"D58 is the top document-only source-request target","Finding 5","research/ufo-d58-evidence-packet.md","Source-reported operational context","Needs raw data"
"D28 is the best weapons-context document-only case","Finding 6","research/ufo-d28-source-review.md","Source-reported operational context","Needs raw imagery and timing"
"D61/D65 is a reporting-density lane, not a performance lane","Finding 7","research/ufo-persian-gulf-2020-timeline.md","Pattern / narrative synthesis","Not kinematics"
"Public videos do not independently establish physical kinematics","Finding 3","research/ufo-pr34-d33-geometry-feasibility.md","Methodological limitation","Telemetry and platform data required"
"Release 02 broadens breadth without raising the claim ceiling","Findings 10-12","research/ufo-release-02-synthesis.md","Tranche-level synthesis","No hard new pairing"
"PR44/PR051/PR059 meter-like overlays are display annotations with unresolved semantics","Finding 13","research/ufo-overlay-measurement-classification.md","Display-overlay observation","Not physical measurement"
"Residual overlay OCR triage found no new promoted meter-label cases","Finding 13","research/ufo-overlay-measurement-completion-audit.md","Bounded OCR triage","No residual promotion under bounded triage"
"Overlay semantics require source documentation or raw metadata","Finding 13","research/ufo-overlay-measurement-source-requests.csv","Methodological limitation","Falsifiable with source docs/raw telemetry"
