case,video,record_id,interval_name,start_second,end_second,public_segment_class,visible_overlay_label,manual_read,confidence,reticle_or_box_state,object_relation,interpretation_boundary,next_action
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_title_card,1,4,title card,no,,high,no object/reticle measurement view,no source object view,"Do not use title-card text as sensor evidence.",Ignore for overlay semantics.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_tracking_label_fragment,5,6,original excerpt at 100 percent speed,partial,unreadable meter-like label structure,medium,reticle/track marks around bright return,label is near right side of return/reticle,"Label structure appears in the least-altered excerpt, but text is not reliably readable in these samples.",Use adjacent frames for persistence and higher-resolution crops.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_tracking_5m_visible,7,7,original excerpt at 100 percent speed,yes,5M/5m-style,high,reticle/track marks around bright return,label is immediately right of object/reticle,"This supports a persistent measurement-like overlay candidate, not a physical object-size or range claim.",Compare against PR44 and reticle controls.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_tracking_obscured,8,10,original excerpt at 100 percent speed,partial,unreadable/obscured,medium,reticle/track marks around bright return,label region persists but is degraded by compression and background texture,"Persistence is visual but not text-resolved in every second.",Use frame-level review around 7-12s.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_tracking_5m_visible_repeat,11,12,original excerpt at 100 percent speed,yes,5M/5m-style,high,reticle/track marks around bright return,label is immediately right of object/reticle,"Repeated visibility in the least-altered excerpt makes the label stronger than a one-frame artifact.",Do not infer physical semantics without display documentation.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,original_tracking_partial_end,13,19,original excerpt at 100 percent speed,partial,unreadable/partial,low,reticle/track marks around bright return,label region intermittently visible near right reticle side,"Compression, motion, and contrast changes prevent a stable manual read.",Keep as supporting persistence only.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,tracking_stop_exit_original,20,21,original excerpt at 100 percent speed,partial,unreadable,low,reticle/track marks diverge as return exits,label not resolved at exit,"Official description says the sensor stops tracking the area of contrast here, so do not read apparent exit as acceleration without sensor-state data.",Separate motion review from overlay semantics.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,reticle_lock_boxed_sequence,249,253,reticle lock / zoomed segment,yes,31M-like then 30M-like,medium,large rectangular tracking box appears around reticle/return,label sits right of box/reticle,"This is a different display state from the original 5M/5m-style label and may be a reticle/gate/display parameter.",Classify separately from original excerpt label.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,reticle_lock_unboxed_sequence,254,257,reticle lock / zoomed segment,yes,13M-like to 6M-like/9M-like,low,reticle without stable large box,label is near reticle/return but glyphs are degraded,"The descending-looking values are telemetry-like but not text-reliable enough for measurement claims.",Use only as a cue for display-document requests.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,reticle_lock_no_read,258,267,reticle lock / zoomed segment,partial,unreadable/none,low,reticle continues,label not reliably resolved,"The reticle persists after the readable label disappears.",Do not infer continuity beyond readable samples.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,exit_replay_5m_visible,271,276,replay of 20-21s exit period,yes,5M/5m-style,high,reticle/track marks around bright return,label is immediately right of object/reticle,"Replay confirms the same visible label exists in a later presentation of the exit interval, but replay/alteration status prevents independent physical reconstruction.",Use for overlay persistence only.
PR051,DOD_111719715.mp4,DOW-UAP-PR051,exit_replay_partial_after,277,283,replay of 20-21s exit period,partial,unreadable/partial,low,reticle/track marks continue,label region degraded or absent,"Exit replay remains useful for visual persistence but not for acceleration or range reconstruction.",Bound motion claims to image-plane behavior unless raw source telemetry appears.
