"video","priority_after_second_pass","visible_scene","visible_object_or_track","candidate_report_lane","correlation_strength","reason","next_step"
"DOD_111689030.mp4","high - hard DVIDS report pairing, quantitative pass complete, manual validation complete","vessel/feature plus sensor symbology / over-water context","small bright area of contrast tracked, with zoom and contrast changes","DOW-UAP-PR36 / DoW-UAP-D38, Middle East, May 2020","high for report-to-video pairing; medium-high for local timeline/track support","DVIDS identifies filename DOD_111689030 as DOW-UAP-PR36 and states the accompanying Range Fouler report is DoW-UAP-D38. The 2026-05-10 extraction produced 138 one-fps samples and 687 five-fps samples; manual validation accepted all 38 one-fps points from 50-87s, with 31 high-quality and 7 medium-quality accepted points.","Use DOD_111689030 as the current hard report-video anchor; next work is denser independent manual marking if speed/trajectory analysis is needed"
"DOD_111689115.mp4","high - strongest standalone visual clip; hard DVIDS release identity; dense audit and follow-on validation complete","over-water vessel, then prolonged open-water sensor view","persistent compact bright point-return track near reticle; later boxed/range-like annotations; intermittent late returns through zoom-out/loss sequence","DOW-UAP-PR44, Middle East, 2020; no accompanying D report stated on DVIDS page","high for release identity; high for standalone video evidence; low for report-specific pairing","DVIDS identifies filename DOD_111689115 as DOW-UAP-PR44. The 2026-05-10 dense audit sampled 154.0s-243.0s at 5 fps and produced 446 seeded rows. Follow-on validation raised the primary 154.0s-204.8s supported subset to 204/255 high-or-medium visual-quality rows, and the late 244s-294s review found 26/51 conservative compact-return detections with 0/4 detections in the loss/exit interval. PR44 should not be conflated with local DoW-UAP-D44, and the DVIDS page says the reporter did not provide oral or written description.","Treat PR44 as standalone-review complete unless hand-clicking ambiguous 181s-199s rows; do not claim a d44/d57/d58 pairing unless another source establishes it"
"DOD_111688964.mp4","high - strengthened after high-rate review and hard DVIDS release identity","water-like texture","persistent bright object/point with repeated nearby track-box symbology across a 21.8-second sequence","DOW-UAP-PR29, United Arab Emirates, June 2024; DVIDS says DoW-UAP-D8 but report text matches War.gov/local DoW-UAP-D27","high for DVIDS filename-to-release pairing; high for D27 report-text match; low for D8 label reconciliation","DVIDS identifies filename DOD_111688964 as DOW-UAP-PR29 and says the accompanying mission report DoW-UAP-D8 described an object with a vertical pole/bar and a possible reflection from an object in water. Official/local D8 instead describes two round white-hot UAPs near Djibouti in 2025. Official/local D27 contains the UAE over-water pole/bar/reflection and 140-knot language summarized by PR29.","Treat DOD_111688964 as hard PR29 video; use D27 as the report-content match; keep DVIDS's D8 label as an official-source discrepancy unless corrected"
"DOD_111688954.mp4","high - hard DVIDS release identity; report-label discrepancy logged; phase review completed","split EO/SWIR display then SWIR-focused Greece sequence per DVIDS","phase review confirms persistent full-screen SWIR contrast from 10.0s-55.9s, visible-spectrum loss around 56s, and no robust SWIR black-hot reacquisition through 65.5s","DOW-UAP-PR28, Greece, January 2024; DVIDS says DoW-UAP-D7 but report text matches War.gov/local DoW-UAP-D25","high for DVIDS filename-to-release pairing; high for D25 report-text match; high for public visual sequence; low for D7 label reconciliation","DVIDS identifies filename DOD_111688954 as DOW-UAP-PR28 and says the accompanying mission report DoW-UAP-D7 described a diamond-shaped UAP moving about 434 knots and only detectable by SWIR. Official/local D7 is an Arabian Gulf 2020 balloon-like/TFLIR case. Official/local D25 contains the Greece SWIR-only diamond/probe and 434-knot language summarized by PR28. Phase review found 86/92 high-or-medium detections in the 10.0s-55.9s full-screen SWIR interval and 0/18 high-or-medium detections in the 57.0s-65.5s non-reacquisition interval.","Treat DOD_111688954 as hard PR28 video; use D25 as the report-content match; keep DVIDS's D7 label as an official-source discrepancy; do not derive physical speed/range from the public MP4 alone"
"DOD_111688816.mp4","medium - hard DVIDS release identity and D12 content match; provenance-control case","video derivative around still-image source material; frame changes early and late with near-static middle segment","DVIDS says a still image had a reporter-added red line around an area of interest; local sampled MP4 did not show red/orange overlay pixels","DOW-UAP-PR26, United Arab Emirates, October 2023; DVIDS names DoW-UAP-D12 but report content is War.gov/local Iraq, May 2022","high for DVIDS filename-to-release pairing; high for D12 report-content match; low for PR26 title/date/location as event metadata","DVIDS identifies filename DOD_111688816 as PR26 and names DoW-UAP-D12. DVIDS body text matches D12's north-to-northeast/no-positive-ID description, but PR26 title/date/location metadata conflict with D12's Iraq / May 2022 mission report. Local review measured 43.167s, 1295 frames, and no sampled red/orange overlay pixels.","Keep as a provenance/control case; use D12 Iraq/May 2022 content for event analysis, preserve the PR26 title/date/location discrepancy, and do not infer physical kinematics from the public MP4"
"DOD_111689011.mp4","high - hard DVIDS report pairing, local text confirmed, phase review complete, bounded manual-review track and geometry feasibility complete","ocean/near-surface context per DVIDS; bounded pre-reticle manual-review track supports multiple sharp apparent image-plane heading changes","area of contrast tracked near ocean surface before reticle/filter-dominated intervals; seven smoothed image-plane heading changes >=60 deg in 4.0s-59.0s interval","DOW-UAP-PR34 / DoW-UAP-D33, Greece, October 2023","high for report-to-video pairing; medium-high for image-plane maneuver support; low for physical speed/turn validation","DVIDS identifies filename DOD_111689011 as DOW-UAP-PR34 and states the accompanying mission report is DoW-UAP-D33; local D33 text confirms near-ocean-surface flight, multiple 90-degree turns, estimated 80 mph, and loss from feed. The manual-review track retained 97 accepted detector marks, interpolated 14 bounded dropouts, and found seven sharp image-plane heading-change events. Geometry scenarios do not falsify 80 mph but cannot validate it without FOV/range/platform telemetry.","Stop treating PR34/D33 as physically solved; next productive work is either a PR44 standalone quantitative pass or a qualitative PR34 reticle/filter review"
"DOD_111689022-1920x1080-9000k.mp4","medium - hard DVIDS report pairing, source review complete, phase review complete, kinematically weak","cloud/shore or ocean-to-land background; local suffixed file matches the DVIDS filename stem and duration; all local copies hash identically","small/circular area of contrast per report, becoming indistinguishable as background transitions to land; report gives 30 MPH and NONE maneuverability observations; automated detector often selects cloud/shore/terrain features","DOW-UAP-PR35 / DoW-UAP-D35, Greece, October 2023","high for report-to-video pairing with local suffix/export caveat; medium for sequence support; low for object-level tracking","DVIDS identifies filename DOD_111689022 as DOW-UAP-PR35 and states the accompanying mission report is DoW-UAP-D35; local/War.gov D35 confirms near-ocean-surface flight toward land, feed loss at 0811Z, estimated 30 MPH, and no maneuverability observations. The 2026-05-10 phase review supports the zoom/ocean/land-transition sequence, but cloud, shoreline, and terrain confounds prevent reliable public-video kinematics.","Keep as a release/report completeness item and D33 comparison case; lower priority for manual motion work unless cleaner source frames or telemetry appear"
"DOD_111689090.mp4","medium - downgraded after high-rate review; hard DVIDS release identity","open low-texture sensor field with late vessel/over-water context","one persistent compact bright point in most sampled frames; isolated weak secondary specks; later dark elongated scene/vessel features","DOW-UAP-PR42, Middle East, 2020; no accompanying D report stated on DVIDS page","high for release identity; low at report-specific level","DVIDS identifies filename DOD_111689090 as DOW-UAP-PR42 and says the reporter did not provide oral or written description. Local strict point count found mostly one strong point, weakening d56/d58 multi-contact guesses.","Treat as its own PR42 release; do not use it as d56/d58 support without external metadata"
"DOD_111689123.mp4","high visual interest; hard DVIDS release identity","clean background / horizon-like band","tracked area of contrast that grows in apparent size and exits frame","DOW-UAP-PR45, Middle East, 2020; no accompanying D report stated on DVIDS page","high for release identity; low-medium for report-lane inference","DVIDS identifies filename DOD_111689123 as DOW-UAP-PR45 and says the reporter did not provide oral or written description. AARO notes apparent size increase may partly reflect platform closure.","Review source motion as a standalone PR45 clip rather than forcing it into a local d-report lane"
"DOD_111689142.mp4","high visual interest; hard DVIDS release identity","clean sensor field","three distinct areas of contrast maintaining fixed relative positions","DOW-UAP-PR47, INDOPACOM, 2023; no accompanying D report stated on DVIDS page","high for release identity; low-medium for report-lane inference","DVIDS identifies filename DOD_111689142 as DOW-UAP-PR47 and describes three distinct contrast areas that keep fixed relative positions. The reporter did not provide oral or written description.","Review as a standalone three-object/formation lane; separate it from d56/d58 unless report metadata appears"
"DOD_111689083.mp4","medium - hard DVIDS release identity","terrain/cloud or low-context background","single area of contrast enters from left and is tracked across the field","DOW-UAP-PR41, Middle East, 2020; no accompanying D report stated on DVIDS page","high for release identity; low at report-specific level","DVIDS identifies filename DOD_111689083 as DOW-UAP-PR41 and says the reporter did not provide oral or written description.","Keep in standalone PR41 lane; review only after hard-paired clips"
