"sample_second","source_frame_index","manual_status","manual_quality","manual_x_full_frame","manual_y_full_frame","dx_from_center","dy_from_center","detector_confidence","phase","position_basis","caveat"
"50.0","1500","accepted","medium","627","795","-333","255","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"51.0","1530","accepted","high","825","637","-135","97","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"52.0","1560","accepted","high","837","485","-123","-55","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"53.0","1590","accepted","medium","714","350","-246","-190","medium","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"54.0","1620","accepted","high","551","330","-409","-210","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"55.0","1650","accepted","high","515","348","-445","-192","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"56.0","1680","accepted","high","585","389","-375","-151","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"57.0","1710","accepted","high","664","405","-296","-135","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"58.0","1740","accepted","high","730","422","-230","-118","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"59.0","1770","accepted","high","771","453","-189","-87","medium","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"60.0","1800","accepted","high","805","495","-155","-45","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"61.0","1830","accepted","medium","823","535","-137","-5","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"62.0","1860","accepted","high","833","567","-127","27","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"63.0","1890","accepted","high","834","606","-126","66","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"64.0","1920","accepted","high","822","627","-138","87","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"65.0","1950","accepted","high","799","626","-161","86","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"66.0","1980","accepted","high","764","595","-196","55","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"67.0","2010","accepted","high","727","557","-233","17","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"68.0","2040","accepted","high","703","523","-257","-17","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"69.0","2070","accepted","high","737","501","-223","-39","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"70.0","2100","accepted","high","774","496","-186","-44","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"71.0","2130","accepted","high","801","506","-159","-34","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"72.0","2160","accepted","high","821","538","-139","-2","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"73.0","2190","accepted","high","819","580","-141","40","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"74.0","2220","accepted","high","805","615","-155","75","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
"75.0","2250","accepted","medium","786","645","-174","105","strong","primary sustained DVIDS in-FOV interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context"
"76.0","2280","accepted","high","561","780","-399","240","strong","post-zoom sustained interval","detector-centered coordinate accepted after visual review of raw one-fps crop and zoom patch","accepted; compact bright object/contrast is visible in raw crop and zoom patch"
