record_id,release_tag,source_video,review_basis,ocr_rows,ocr_meter_candidate_rows,visible_overlay_elements,meter_label_result,classification_effect,physical_claim_status,evidence_boundary,support_note
DOW-UAP-PR050,release-02,DOD_111719709.mp4,30_second_remote_frame_display_focused_ocr_probe,4,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR053,release-02,DOD_111719723.mp4,30_second_remote_frame_display_focused_ocr_probe,4,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR054,release-02,DOD_111719726.mp4,30_second_remote_frame_display_focused_ocr_probe,32,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR056,release-02,DOD_111719741.mp4,30_second_remote_frame_display_focused_ocr_probe,32,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR060,release-02,DOD_111719823.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,40,3,"display crops with terrain/shoreline texture, black redaction blocks, direction markers, and reticle geometry","three OCR candidates at 60s, 90s, and 210s were manually checked and rejected as terrain/shoreline/display-geometry OCR noise; not visible meter labels",bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR061,release-02,DOD_111719828.mp4,30_second_remote_frame_display_focused_ocr_probe_plus_manual_candidate_crop_review,40,1,center reticle crop with terrain texture and direction markers,one OCR candidate at 30s was manually checked and rejected as terrain/reticle OCR noise; not a visible meter label,bounded_residual_remote_ocr_false_ocr_candidate,not_promoted,Bounded remote-frame OCR triage plus manual candidate crop review only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR063,release-02,DOD_111719850.mp4,30_second_remote_frame_display_focused_ocr_probe,40,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR064,release-02,DOD_111719852.mp4,30_second_remote_frame_display_focused_ocr_probe,4,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR065,release-02,DOD_111720692.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
DOW-UAP-PR066,release-02,DOD_111720693.mp4,30_second_remote_frame_display_focused_ocr_probe,8,0,remote display/reticle crops with no promoted meter-label candidate,no explicit PR44/PR051/PR059-style meter-label candidate promoted in bounded residual-remote OCR review,bounded_residual_remote_ocr_no_meter_candidate,not_promoted,Bounded remote-frame OCR triage only; source MP4 not retained or hashed; not an exhaustive all-frame absence claim.,research/ufo-overlay-measurement-residual-remote-ocr-probe.md
