"rank","tier","item","case_group","evidence_class","pairing_status","confidence","main_value","main_caveat","next_action","source_notes"
"1","Tier 1","D38 / PR36 / DOD_111689030.mp4","Range-fouler / Middle East","Hard report-video pair","DVIDS explicitly pairs PR36 video with DoW-UAP-D38","High for pairing and local visual support; low for public physical kinematics","Current anchor; compact point-return behavior validated in useful interval","No independent public validation of speed, range, physical trajectory, or true object behavior","Use as calibration anchor for future report/video reviews","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-d38-anchor-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-report-video-correlation-matrix.md"
"2","Tier 1","D33 / PR34 / DOD_111689011.mp4","Greece ocean-surface","Hard report-video pair plus manual track","DVIDS pairs PR34 with DoW-UAP-D33","High for pairing; medium-high for image-plane heading-change support; low for physical speed/turn validation","Strongest Greece maneuver lane; source text and manual track align on apparent sharp heading changes","True physical 90-degree turns and 80 MPH remain report-derived without telemetry/FOV/range/platform motion","Use as image-plane maneuver benchmark, not solved physics","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d33-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr34-d33-manual-track-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr34-d33-geometry-feasibility.md"
"3","Tier 1","D25 / PR28 / DOD_111688954.mp4","Greece SWIR-only","Hard release identity plus corrected report-content match","DVIDS says D7, but local/War.gov D25 matches PR28 report summary","High for PR28 identity and D25 content match; low for D7 label reconciliation and physical kinematics","Strongest SWIR-only lane; phase review supports acquisition/loss sequence","434 KNOTS, FL200, range, size, and detailed shape are report-derived","Keep as main sensor-mode anomaly lane","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d25-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr28-d25-d7-reconciliation.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-pr28-d25-phase-review-notes.md"
"4","Tier 1","D27 / PR29 / DOD_111688964.mp4","UAE over water","Hard release identity plus corrected report-content match","DVIDS says D8, but local/War.gov D27 matches PR29 report summary","High for PR29 identity and D27 content match; low for D8 label reconciliation and physical kinematics","Strongest unusual morphology lane: glowing sphere with pole/bar or possible reflection","Pole/bar may be water reflection; 140 KNOTS remains report-derived","Keep as source-index discrepancy benchmark after D25/PR28","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d27-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr29-d8-d27-reconciliation.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-pr29-d27-visual-alignment.md"
"5","Tier 1","D23 / PR27 / DOD_111688825.mp4","UAE long video","Hard report-video pair","DVIDS pairs PR27 with DoW-UAP-D23","High for identity and late compact-return validation; low for physical kinematics","Long hard-paired case; manual validation supports repeated compact-return candidates, strongest from 207.0s-297.0s","Public video does not identify which D23 UAP line it depicts; 320 MPH and 440 MPH remain report-derived","Use as long-duration manual-validation comparator","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-pr27-d23-phase-review-notes.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-pr27-d23-manual-validation-notes.md"
"6","Tier 1","D35 / PR35 / DOD_111689022","Greece ocean-surface control/comparison","Hard report-video pair","DVIDS pairs PR35 with DoW-UAP-D35; local suffixed MP4 matches filename stem/duration","High for pairing; medium for sequence support; low for object-level kinematics","Hard-paired comparison case for ocean-surface/toward-land sequence","NONE maneuverability observations plus cloud/shore/terrain confounds","Use as paired control below D33","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d35-source-review.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-video-pr34-pr35-phase-review-notes.md"
"7","Tier 2","D58","Range-fouler / radar-target-pod-jamming","Document-only high-value source-request case","No hard public video match yet","High for operational interest; medium for report content; low for exotic claim","Radar lock, target-pod video, KINGPIN-directed ID, two IR-significant contacts, red blinking strobes, noise jamming, closest range 16.9 NM","Same details preserve conventional military aircraft, drone, or EW-platform explanations","Evidence packet complete; use it to drive source requests and official metadata checks","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d58-evidence-packet.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d58-evidence-constraints.csv; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-range-fouler-cluster-packet.md"
"8","Tier 2","D28","Iraq / Ayn Al Asad weapons-context sensor event","Document-only high-value source-request case","No PR/video pairing found","High for document content; low for video pairing and public physics","AGM-176 mission phase; UAP reported between weapon release and impact; MX-20/MX-25 IR lens-flare language","No raw imagery, release/impact timestamps, FOV, range, speed, altitude, size, or trajectory","Keep as top MX-20/MX-25 imagery and weapon-timeline source request","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d28-evidence-packet.md; https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d28-source-review.md"
"9","Tier 2","D74","Syria / OIR later mission report","Document-only readable narrative","No hard public video match yet","High for structured document content; low for physical kinematics","Readable seven-minute near-co-altitude pass narrative; event serial 092153ZNOV2023-CENTCOM; estimated 424KN; negative controls","Shape and speed are report-derived; PDF metadata says D42","Keep as top readable narrative document-only case","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d74-source-review.md"
"10","Tier 2","D75","Gulf of Aden later mission report","Document-only structured fields","No hard public video match yet","High for structured fields; low for shape/speed/video pairing","FMV primary sensor; event 140517:00ZJUL24; low-altitude/NW-trajectory fields; followed until distance too far","Description and gentext are source-redacted; do not infer shape or absolute speed","Use structured fields only unless new source material appears","https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-d75-source-review.md"
