classification_id,case,record_id,release,overlay_candidate,interval_seconds,evidence_polarity,visibility_status,manual_read,confidence,display_association,classification,physical_claim_status,support_artifact,source_request_id,notes
OMC-PR44-001,PR44,DOW-UAP-PR44,release-01,sustained meter-like reticle/track-box label,204-266,positive,persistent,12M -> 11M -> 10M -> 9M,high,reticle_track_box,unresolved_display_annotation,not_promoted,research/ufo-overlay-measurement-pr44-full-label-survey.md,OMSR-PR44-DISPLAY,"Strong public overlay candidate; semantics remain unresolved."
OMC-PR44-002,PR44,DOW-UAP-PR44,release-01,frame-localized value transition,233.333-233.367,positive,persistent_transition,11M -> 10M,high,reticle_track_box,unresolved_display_annotation,not_promoted,research/ufo-overlay-measurement-pr44-transition-pass.md,OMSR-PR44-DISPLAY,"Transition is display-state evidence, not physical kinematics."
OMC-PR44-003,PR44,DOW-UAP-PR44,release-01,label/reticle/object motion relation,230-249,positive,persistent,10M/11M sequence with stable label-reticle relation,high,reticle_track_box,display_state_associated,not_promoted,research/ufo-overlay-measurement-pr44-motion-compare.md,OMSR-PR44-RAW,"Label remains tied to reticle/track-box while bright object candidate moves down-left."
OMC-PR051-001,PR051,DOW-UAP-PR051,release-02,original-excerpt measurement-like label,007;011-012,positive,repeated,5M / 5m-style,high,reticle_object_region,unresolved_display_annotation,not_promoted,research/ufo-overlay-measurement-pr051-label-survey.md,OMSR-PR051-DISPLAY,"Repeated in least-altered original excerpt; still not object size or range."
OMC-PR051-002,PR051,DOW-UAP-PR051,release-02,exit-replay measurement-like label,271;275-276,positive,repeated,5M / 5m-style,high,reticle_object_region,altered_replay_overlay_candidate,not_promoted,research/ufo-overlay-measurement-pr051-label-survey.md,OMSR-PR051-CHAIN,"Useful for persistence but replay/alteration status blocks physical reconstruction."
OMC-PR051-003,PR051,DOW-UAP-PR051,release-02,reticle-lock meter-like suffix sequence,249-257,positive,intermittent,31M-like; 30M-like; 13M-like; 6M/9M-like,medium,reticle_lock_box,unresolved_display_annotation,not_promoted,research/ufo-overlay-measurement-pr051-label-survey.md,OMSR-PR051-DISPLAY,"Different display state from original 5M label; text confidence lower."
OMC-PR059-001,PR059,DOW-UAP-PR059,release-02,persistent track-box/target-adjacent meter-suffix label,23-277,positive,persistent,36M/33M/10M/<4M/2M/23M-style sequence,high,track_box_target_adjacent_label,unresolved_display_annotation,not_promoted,research/ufo-overlay-measurement-pr059-label-survey.md,OMSR-PR059-DISPLAY,"Third positive public-video overlay candidate; exact values vary and semantics remain unresolved."
OMC-CTRL-PR31,DOW-UAP-PR31,DOW-UAP-PR31,release-01,PR44-style reticle-associated meter label,0-5,negative_control,absent,,high,glare_display_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr31-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Direct one-second survey found one continuous no-label interval."
OMC-CTRL-PR32,DOW-UAP-PR32,DOW-UAP-PR32,release-01,PR44-style reticle-associated meter label,0-6,negative_control,absent,,high,glare_display_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr32-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Direct one-second survey found one continuous no-label interval."
OMC-CTRL-PR33,DOW-UAP-PR33,DOW-UAP-PR33,release-01,PR44-style reticle-associated meter label,0-5,negative_control,absent,,high,orange_overlay_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr33-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Direct one-second survey found one continuous no-label interval."
OMC-CTRL-PR34,DOW-UAP-PR34,DOW-UAP-PR34,release-01,PR44-style reticle-associated meter label,0-177,negative_control,absent,,high,reticle_zoom_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr34-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Direct one-second survey found one continuous no-label interval."
OMC-CTRL-PR36,DOW-UAP-PR36,DOW-UAP-PR36,release-01,PR44-style reticle-associated meter label,0-137,negative_control,absent,,high,hard_paired_reticle_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr36-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Best hard-paired negative reticle comparison case."
OMC-CTRL-PR45,DOW-UAP-PR45,DOW-UAP-PR45,release-01,PR44-style reticle-associated meter label,0-58,negative_control,absent,,high,reticle_lock_size_control,no_matching_label,not_promoted,research/ufo-overlay-measurement-control-pr45-label-survey-intervals.csv,OMSR-CONTROL-DOCS,"Reticle-lock/apparent-size control without matching PR44-style label sequence."
