case,record_id,video,second,frame_index,roi,ocr_text,normalized_text,meter_label_candidate,candidate_rule,tesseract_psm,sample_step_seconds,source_media_boundary
PR052,DOW-UAP-PR052,DOD_111719718.mp4,0,0,focus_crop,—_ =a a ae ein? aat + =: ia” a ay *,A A AE EIN AAT IA A AY,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,0,0,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,15,360,focus_crop,ay ee ee a eT. ~~ -_ — a,AY EE EE A ET A,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,15,360,lower_center_crop,ee =,EE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,30,720,focus_crop,aot <== Rep a ae ere +o —— “im - a ia,AOT REP A AE ERE O IM A IA,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,30,720,lower_center_crop,» & _ on ee - arg —~ — =,ON EE ARG,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,45,1080,focus_crop,"@ oom: =o SB >. $= ee > cae om evs) es 2 co * _. = s- a “el er JE tt ee ee a | ""ae ~—=- iio - ly nS ey "" a —— ff ~: tp",OOM O SB EE CAE OM EVS ES 2 CO S A EL ER JE TT EE EE A AE IIO LY NS EY A FF TP,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,45,1080,lower_center_crop,"“— ane, a aes Ip 2 er ™* - 5, @",ANE A AES IP 2 ER 5,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,60,1440,focus_crop,"a. & 7 ———- ey Li . _ ge 4 —— ee ie ee ee = anf & —_— oF lw amn=s af fl ae te ———_ wy ae — af awe r cd ie. eee ao eee — —_eoo oF —s . -_ ee rr 1a f om aay — ay _a ""UR: , cae",A 7 EY LI GE 4 EE IE EE EE ANF OF LW AMN S AF FL AE TE WY AE AF AWE R CD IE EEE AO EEE EOO OF S EE RR 1A F OM AAY AY A UR CAE,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,60,1440,lower_center_crop,ao ee ° ae —- . fe en ___ in - = os ~~ Ee |} =m = ae o 0 eee. ens mzhU; Vs. sein -— “>,AO EE AE FE EN IN OS EE M AE O 0 EEE ENS MZHU VS SEIN,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,75,1800,focus_crop,oe - ) ‘wf -,OE WF,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,75,1800,lower_center_crop,,,no,,11,15,source MP4 retained outside Git; OCR text only committed
PR052,DOW-UAP-PR052,DOD_111719718.mp4,90,2160,focus_crop,"as > fe we wij PY __ san 8 ea"" af , aoa ae ef « gia ire a ® =O oe | a ae re “ma SEEN 5 =e am “oom St, ET cee ao a,"" —— = o —9_, ies ee el = Tren, f- 1 _ w-ys bo — ~ yee - ee s | * ~& ee '_#- _- - i a 4 NW. —_— 8 @:. —s < _ eee, | ""Safin ee” ™- ee = “Ry",AS FE WE WIJ PY SAN 8 EA AF AOA AE EF GIA IRE A O OE A AE RE MA SEEN 5 E AM OOM ST ET CEE AO A O 9 IES EE EL TREN F 1 W YS BO YEE EE S EE I A 4 NW 8 S EEE SAFIN EE EE RY,no,,11,15,source MP4 retained outside Git; OCR text only committed
