file,kind,region_date_from_filename,text_status,text_chars,uap_mentions,sensor_terms,behavior_terms,evidence_weight,summary_snippet
dow-uap-d10-mission-report-middle-east-may-2022.pdf,mission report,middle-east-may-2022,text extracted,9599,6,FMV; IR; RADAR; IFF; ES; SENSOR; TGT POD,ROUND; FLY ACROSS; FOV; ALTITUDE; SPEED,high: structured operational report,"1.4a â€¢ Observed Activity Description: 1X UAP â€¢ Method of Observation: FMV â€¢ EEIs Observed: â€¢ Number of EEIs: GENTEXT/OBSERVATION â€¢ Gentext: (SECRET//REL TO USA, FVEY) FROM 1514Z to 1934Z, 1.4a OBSERVED 5X UAP FLY ACROSS THE SCREEN. AT 1514Z 1.4a OBSERVED A UAP WITH THE VISRECCE OF A POSSIBLE 1.4a MISSILE FLY ACROSS THE FOV IVO 38SMC531.4a 96 1.4a 1.4a PROCEEDED TO SEE 4X OTHER UAPS IN THEIR FOV UNTIL 1934Z. ALL 4X REMAINING UAP FIT CLOSER TO THE PROFILE OF POSSIBLE BIRDS. WEATHER â€¢ Weather: (SECRET\\REL TO USA, FVEY) DUST HINDERED MOST FMV COLLECTION OF THE GROUND. (b)(6) SECRET//REL TO USA, FVEY USCENTCOM MDR 25-0093 / JS-250710-TM8S 10/20/25 006 Approved for Release to AARO"
dow-uap-d12-mission-report-iraq-may-2022.pdf,mission report,iraq-may-2022,text extracted,9705,13,FMV; IR; RADAR; IFF; ES; ANDAS4; TGT POD,ROUND; ALTITUDE; VELOCITY; SPEED; UNK,high: structured operational report,"RF Frequency: - â€¢ UAP RF Duration: - â€¢ UAP Effects on Persons: â€¢ Full Name: â€¢ Email: â€¢ Phone Number (VOSIP/STE): â€¢ UAP First Seen Location: 38SMC79 1.4a 70 1.4a â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): UNK GENTEXT/UAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features): (S//REL) 1.4a 1.4a OBSERVED A UAP AT 2043Z FLY NORTH TO NORTH EAST AND FOLLOWED AS LONG AS POSSIBLE. 1.4a SCREENER COULD NOT GET A POSITIVE ID ON THE UAP. 3.5c, FOIA Exemption (b)(6) SECRET//REL TO USA, FVEY MDR 25-0094 thru MDR 25-0099 / JS-250710-TM8S 10/17/25 006 Approved for Release to AARO"
dow-uap-d14-mission-report-iraq-may-2022.pdf,mission report,iraq-may-2022,text extracted,16180,15,FMV; IR; RADAR; IFF; ES; ANDAS4; TGT POD,ROUND; ALTITUDE; VELOCITY; SPEED,high: structured operational report,"No â€¢ UAP RF Frequency: - â€¢ UAP RF Duration: - â€¢ UAP Effects on Persons: â€¢ Full Name: â€¢ Email: â€¢ Phone Number (VOSIP/STE): â€¢ UAP First Seen Location: 37SBV28!1.4a[~ â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): - GENTEXT/UAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features): (S//REL)! 1.4a I 1.4a !OBSERVED A UAP AT 0117Z FLY NORTH TO NORTH EAST AND FOLLOWED AS LONG AS POSSIBLE.~SCREENER COULD NOT GET A POSITIVE ID ON THE UAP. OBSERVATION 3.5c, FOIA Exemption (b}(6) SECRET//REL TO USA, FVEY MDR 25-0094 thru MDR 25-0099 / JS-250710-TM8S 10/17/25 008 Approved for Release to AARO Declassified by MG Richard A. Harrison USCENTCOM Chief of Staff SECRET//REL TO USA, FVEY Declassified on: 8 October 2025"
dow-uap-d16-mission-report-syria-july-2022.pdf,mission report,syria-july-2022,text extracted,14139,15,FMV; IR; RADAR; IFF; ES; SENSOR,ROUND; FOV; ALTITUDE; VELOCITY; SPEED,high: structured operational report,"FAQ SALTI AB (OJMS). AT 301829ZJUL22,~HANDED OVER FROM THE LRE. AT 301925ZJUL22, I 1.4a !BEGAN SIGINT COLLECT. AT 302028ZJUL22~VED ON STATION AND CHECKED IN WITH TF CHOSIN STA TO PERFORM IMINT IVO 37SFU3~1~ (SEE ISR 1). AT 310239ZJUL22, ~OBSERVED AN UNIDENTIFIED AERIAL PHENOMENON IVO 37SFU271w'7~(SEE UAP 1). AT 311343ZJUL22,~RETURNED TO BASE. AT 311409ZJUL22J 1.4a [ERMINATED SIGINT COLLECT. AT 311458ZJUL22,~HANDED BACK TO THE LRE. AT 311519ZJUL22, ~LANDED AT OJMS. FULL MOTION VIDEO WAS EXPLOITED BY DGSl. 20.9 MISSION HOURS, 17 .2 IMINT HOURS, 1 IMINT TA SKINGS PROSECUTED, 18. 7 SIGINT HOURS, 1 SIGINT TASKINGSPROSECUTED,2TOTALTASKINGSPROSECUTED (SJRELIBO, l\Iission Narrative Admin CLASSIFICATION â€¢ Classificatiom f!ffle'IHH' â€¢ Associated Caveats3 l'i0P0Rli â€¢ Classification Source (MS or Classification Guide ID): MULTIPLE SOURCES â€¢ Declassification Date (YYYYMMDD): 20470731 OPERATION â€¢ Oper"
dow-uap-d18-mission-report-iraq-december-2022.pdf,mission report,iraq-december-2022,text extracted,10237,14,FMV; IR; RADAR; IFF; ES; BLASPHEMY; SENSOR,ROUND; ALTITUDE; VELOCITY; SPEED,high: structured operational report,": - â€¢ UAP Effects on Persons: (U) NONE REPORTED â€¢ Full Name: - â€¢ Email: - â€¢ Phone Number (VOSIP/STE): - â€¢ UAP First Seen Location: 38S MB 4~83!1.4a! â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): - GENTEXTIUAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features). tB,11'i'ifFâž” AT 16202, I 1.4a !OBSERVED lX POSSIBLE UAP/UAV FLYING WEST TO EAST IVO 38SMB4~831I:4al ~DID NOT FOLLOW UAP. ~CONTINUED THE MISSION AS TASKED, NO FURTHER EVENTS WERE OBSERVED. 1.4a 81l!EIMMf 8PEHlfi MDR 25-0094 thru MDR 25-0099 / JS-250710-TM8S 10/17/25 006 Approved for Release to AARO"
dow-uap-d19-mission-report-syria-february-21-2023.pdf,mission report,syria-february-21-2023,text extracted,17101,4,IR; RADAR; IFF; ES; TGT POD,ROUND; BALLOON; ALTITUDE; SPEED,high: structured operational report,"TRACK). ES,1,m!h Ir() 8&\., FW1l) 00032- ~ FLT CHECKED ON STATION W/ KINGPIN AND PROCEEDED TO CONDUCT DCA IVO ESSA. ~&~~W~ 90212-00242 -~RECEIVED MFT RADAR JAMMING IVO SHADDADI d 1.4a I 1.4a IAT FL270. NTFR. ES!'.'>W) 00252-~OBS 3X POSS UAP IVO SHADDADI I....___1_.4a_ ____,!AT FL240. WSV PRODUCED. NFTR. â€¢tS,',4&:: 'F8 ti&\. FiWf) 01342-~FLT AIR REFUELED W/! 1.4a !RECEIVING 33.5K LBS (COMBINED TOTAL) OF FUEL (GANDER TRACK). â‚¬&~ 1tQ Yi/1, Â¥\QiÂ¥) 01352- ~OBS IX POSS BALLOON IVO SHADDADI I...._....._1.4=a_ _. I 1.4a I AT FL210. WSV PRODUCED. NFTR. ~i(UL '.J;Q WA. FMIJ 02262-~AIR REFUELED W/~CEIVING 1lK LBS FUEL (GANDER TRACK). ~,(~ls 'P9 UStâ€¢t~ PtrÂ£Y) 03402- ~FLT CHECKED OFF STATION W/ KINGPIN. â‚¬it.UL +Q Uli.,t1gFWsÂ¥) 03402- ~FLT C2 CHECK OUT W/ KINGPIN AND RTB. ~lir(!P&. J:Q GSA, FÂ¥.EÂ¥) 04252- ~FLT LANDED AT OJMS W/ BSD AT 04352. NSTR. (iRlEl51BO, Mission Narrative 3.5c, FOIA Exemption (b)("
dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,mission report,united-arab-emirates-october-2023,text extracted,16776,64,FMV; IR; RADAR; IFF; ES; GMESH; SENSOR; TGT POD,ROUND; ALTITUDE; VELOCITY; SPEED; UNK,high: structured operational report,"UAP Anomalous Characteristics/ Behaviors: UNK. â€¢ First Accurac : Estimated â€¢ Call Sign: 1.4a â€¢ UAP First Seen Location: â€¢ UAP Last Seen Location: â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): GENTEX.TIUAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features): UNK. â€¢ Gentext (UAP Event Description): (S/NF)AT 02412,~OBSERVED IX UAP IYO 39RXK6~~1.4al UAP â€¢ Initial Contact DTG: 240322:00ZOCT23 â€¢ UAP Event Type: UAP Incident â€¢ UAP Maneuverability Observations: NONE â€¢ UAP Response to Observer Actions: UNK â€¢ MDS Type / Asset Type: UNK. â€¢ Tail Number:j1.4a, 1.4g! â€¢ Friendly Aircraft Location: 39RXK6~~1.4a! â€¢ Friendly Aircraft Altitude/Depth: FL243 â€¢ Friendly Aircraft Trajectory: 280 DEGREES â€¢ Observer Assessment of UAP: Benign â€¢ Friendly Aircraft Speed: 162 KTAS â€¢ Observation Interrogation of UAP (yes/no; if yes list sensor(s) and retur"
dow-uap-d23-mission-report-united-arab-emirates-october-2023_1_.pdf,mission report,united-arab-emirates-october-2023-1-,text extracted,16776,64,FMV; IR; RADAR; IFF; ES; GMESH; SENSOR; TGT POD,ROUND; ALTITUDE; VELOCITY; SPEED; UNK,high: structured operational report,"UAP Anomalous Characteristics/ Behaviors: UNK. â€¢ First Accurac : Estimated â€¢ Call Sign: 1.4a â€¢ UAP First Seen Location: â€¢ UAP Last Seen Location: â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): GENTEX.TIUAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features): UNK. â€¢ Gentext (UAP Event Description): (S/NF)AT 02412,~OBSERVED IX UAP IYO 39RXK6~~1.4al UAP â€¢ Initial Contact DTG: 240322:00ZOCT23 â€¢ UAP Event Type: UAP Incident â€¢ UAP Maneuverability Observations: NONE â€¢ UAP Response to Observer Actions: UNK â€¢ MDS Type / Asset Type: UNK. â€¢ Tail Number:j1.4a, 1.4g! â€¢ Friendly Aircraft Location: 39RXK6~~1.4a! â€¢ Friendly Aircraft Altitude/Depth: FL243 â€¢ Friendly Aircraft Trajectory: 280 DEGREES â€¢ Observer Assessment of UAP: Benign â€¢ Friendly Aircraft Speed: 162 KTAS â€¢ Observation Interrogation of UAP (yes/no; if yes list sensor(s) and retur"
dow-uap-d25-mission-report-greece-january-2024.pdf,mission report,greece-january-2024,text extracted,13158,36,FMV; IR; RADAR; IFF; ES; GMESH; BLASPHEMY; SANTA FE; SENSOR; TGT POD,ROUND; ALTITUDE; VELOCITY; KNOTS; SPEED; UNK,high: structured operational report,"classified on: 24 October 2025 Misrep undefined-9629373 Narrative (SECRET//REL TO USA, FVEY) AT 0109Z, (b)(1)1.4a CONDUCTED SLR TAKE OFF FROM LGLR. (b)(1)1.4a PROCEEDED TO FRAGGED TASKING TO SUPPORT (b)(1)1.4a AT 0509Z, (b)(1)1.4a OBSERVED AN UNIDENTIFIED AERIAL PHENOMENON (SEE UAP 1). AT 0135Z, (b)(1)1.4a WAS 7-LINED TO SUPPORT (b)(1)1.4a (b)(1)1.4a ARRIVED ON-STATION AT 0635Z, CHECKED IN WITH (b)(1)1.4a AND PERFORMED FMV/SIGINT COLLECTION AT 36R XV 19 (b)(1)1.4a 63 (SEE (b)(1)1.4a ISR 1). AT 1504Z, (b)(1)1.4a RETURNED TO BASE. AT 2149Z, (b)(1)1.4a LANDED AT LGLR. FULL MOTION VIDEO WAS EXPLOITED BY GET. 20:40 MISSION HOURS, 08:29 FMV HOURS, 1X FMV TASKINGS PROSECUTED, 08:27 SIGINT HOURS, 1X SIGINT TASKINGS. (SECRET//REL TO USA, FVEY) (S/RELIDO) Mission Narrative Admin CLASSIFICATION â€¢ Classification: SECRET â€¢ Associated Caveats: REL TO USA, FVEY â€¢ Classification Source (MS or Classifica"
dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,mission report,united-arab-emirates-october-2023,text extracted,14561,33,FMV; IR; RADAR; IFF; ES; GMESH; SENSOR; TGT POD,ROUND; ALTITUDE; VELOCITY; KNOTS; SPEED; UNKNOWN; UNK,high: structured operational report,"yes, describe): NO â€¢ UAP Anomalous Characteristics/ Behaviors: â€¢ First Accuracy: Precise â€¢ Call Sign: (b)(1)1.4a â€¢ UAP First Seen Location: â€¢ UAP Last Seen Location: â€¢ UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): GENTEXT/UAP â€¢ UAP Description (e.g., size, shape, color, markings, recognizable features): (SECRET//NOFORN) GLOWING HOT SPHERICAL UNIDENTIFIED OBJECT WITH A VERTICAL UNWAVERING CYLINDRICAL POLE/BAR ATTACHED ON THE BOTTOM OF THE OBJECT POSS REFLECTION FROM THE OBJECT IN THE WATER, MOVING AT 140KNOTS (SECRET//NOFORN) â€¢ Gentext (UAP Event Description): (SECRET//NOFORN) DURING RTB AT 0457Z, (b)(1)1.4a OBSERVED 1X UAP WHILE TRANSITING OVER 40RFM60 2 (b)(1)1.4a FLYING AT AN ALTITUDE OF 23,999FT MSL AND SPEED OF 163KTS. (b)(1)1.4a (SECRET//NOFORN) NIB â€¢ Earliest Time Intelligence of Value: 070444:00ZJUN24 â€¢ Latest Time Intelligence of Value: 070548:00"
