"phase","start_second","end_second","dvids_anchor","local_visual_result","detector_summary","judgment"
"initial subject matter","0","4","Before DVIDS 00:05 entry note","Opening frames show the initial maritime/over-water subject matter with vessel/platform-like structure and redactions.","Detector marks some bright structure in the initial subject matter; not treated as UAP track.","context only"
"brief contrast entry","5","5","DVIDS: 00:05 area of contrast briefly enters from left side","Local frame shows a brief contrast point/feature near the left-side field while initial subject matter is still present.","1 fps detector active, but this is a single-second event in cluttered context.","low-confidence event marker"
"pan / contrast / zoom changes","6","18","DVIDS: 00:06-00:18 sensor pans away from initial subject matter while cycling contrast and zoom","Local frames show clear sensor panning and contrast/modality changes; scene becomes lower-context and darker/blanker in places.","Detector has scattered early active windows, mostly not stable enough for a track.","sequence alignment high; object track low"
"reported re-entry","19","24","DVIDS: 00:19 area of contrast re-enters near center/top edge; 00:20 starts generally in-FOV interval","Local frames show low-context sensor field; the object is difficult to distinguish visually at one-fps review.","Detector weak/noisy, with only isolated medium activity at 24s.","low-confidence visual interval"
"intermittent pre-track","25","49","Within DVIDS 00:20-01:15 generally in-FOV interval","Local frames show intermittent small bright points against water-like texture, but no clean one-second continuous track.","Detector produces mostly weak candidates with scattered medium/strong one-second detections.","possible target, not quantitative anchor"
"primary sustained track","50","75","Within DVIDS 00:20-01:15 generally in-FOV interval","Small bright object/area of contrast remains visible against water texture; movement relative to reticle/sensor field is trackable in the derived sheets.","1 fps: 26 samples, 24 strong and 2 medium. 5 fps: 126 samples, 116 strong, 8 medium, 2 weak. Manual validation accepted all 26 one-fps points, 22 high-quality and 4 medium-quality.","strongest manually validated quantitative anchor interval"
"post-zoom sustained track","76","87","DVIDS: 01:16 sensor narrows field of view to zoom in on area of contrast","Local frames show zoomed water texture and a continuing compact bright candidate, but visual clutter increases.","1 fps: 12 samples, all strong. 5 fps: 56 samples, 54 strong, 2 weak. Manual validation accepted all 12 one-fps points, 9 high-quality and 3 medium-quality.","manually validated continuation; use with zoom/texture caveat"
"secondary detector-active interval","91","108","Between DVIDS 01:16 zoom and 01:56 further zoom","Local frames show more water texture and multiple candidate highlights; detector boxes jump more than in the primary interval.","1 fps: 18 samples, 13 strong, 4 weak. 5 fps: 86 samples, 64 strong, 2 medium, 20 weak.","supports continued contrast in field, but weak for manual position track"
"further zoom / texture-dominated interval","110","121","DVIDS: 01:56 sensor further narrows field of view to zoom in","Local frames show enlarged water texture and intermittent bright candidates; larger texture makes false-positive risk higher.","1 fps: 12 samples, 6 strong and 6 medium. 5 fps: 56 samples, 43 strong, 9 medium, 3 weak.","sequence alignment high; object-position confidence medium-low"
"reticle / lock attempt","127","134","DVIDS: 02:10 blue reticle briefly appears but does not acquire lock","Local frames show cyan/blue reticle-style symbology and continued field texture; target candidate is not cleanly locked.","1 fps: 8 samples, 4 strong, 2 medium, 2 weak. 5 fps: 36 samples, 13 strong, 11 medium, 11 weak.","reticle event alignment high; target-position confidence low"
"modality switch / loss","135","137","DVIDS: 02:15-02:17 sensor switches modality and loses track","Local final frames show modality/field changes and loss of usable track context.","Detector becomes unreliable/partial; one no-detection sample at 136s.","track-loss endpoint"
