priority_rank,residual_id,record_id,release_tag,video_name,dvids_id,dvids_url,matched_terms,priority_band,priority_reason,current_lane_status,local_source_hint,source_availability_class,recommended_scan_mode,recommended_crop_strategy,publication_boundary,next_action
3,DOW-UAP-PR19-METADATA-001,DOW-UAP-PR19,release-01,DOD_111688723.mp4,1006056,https://www.dvidshub.net/video/1006056,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111688723.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR21-METADATA-001,DOW-UAP-PR21,release-01,DOD_111688762.mp4,1006059,https://www.dvidshub.net/video/1006059,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_false_ocr_candidate,source-files-not-included/DOD_111688762.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR22-METADATA-001,DOW-UAP-PR22,release-01,DOD_111688775.mp4,1006060,https://www.dvidshub.net/video/1006060,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111688775.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR23-METADATA-001,DOW-UAP-PR23,release-01,DOD_111688809.mp4,1006062,https://www.dvidshub.net/video/1006062,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111688809.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR26-METADATA-001,DOW-UAP-PR26,release-01,DOD_111688816.mp4,1006063,https://www.dvidshub.net/video/1006063,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111688816.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR27-METADATA-001,DOW-UAP-PR27,release-01,DOD_111688825.mp4,1006067,https://www.dvidshub.net/video/1006067,"field-of-view, zoom",P3,"P2 local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_p2_local_ocr_no_candidate,source-files-not-included/DOD_111688825.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded P2 local OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR28-METADATA-001,DOW-UAP-PR28,release-01,DOD_111688954.mp4,1006073,https://www.dvidshub.net/video/1006073,"434 knots, field-of-view",P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_false_ocr_candidate,source-files-not-included/DOD_111688954.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR29-METADATA-001,DOW-UAP-PR29,release-01,DOD_111688964.mp4,1006074,https://www.dvidshub.net/video/1006074,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111688964.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR35-METADATA-001,DOW-UAP-PR35,release-01,DOD_111689022-1920x1080-9000k.mp4,1006082,https://www.dvidshub.net/video/1006082,"field-of-view, zoom",P3,"P2 local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_p2_local_ocr_no_candidate,source-files-not-included/DOD_111689022-1920x1080-9000k.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded P2 local OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR37-METADATA-001,DOW-UAP-PR37,release-01,DOD_111689044.mp4,1006087,https://www.dvidshub.net/video/1006087,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111689044.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR38-METADATA-001,DOW-UAP-PR38,release-01,DOD_111689051.mp4,1006088,https://www.dvidshub.net/video/1006088,"field-of-view, zoom",P3,"P2 local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_p2_local_ocr_no_candidate,source-files-not-included/DOD_111689051.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded P2 local OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR39-METADATA-001,DOW-UAP-PR39,release-01,DOD_111689057.mp4,1006089,https://www.dvidshub.net/video/1006089,field-of-view,P3,"Residual local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_residual_local_ocr_no_meter_candidate,source-files-not-included/DOD_111689057.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded residual local-source OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
3,DOW-UAP-PR40-METADATA-001,DOW-UAP-PR40,release-01,DOD_111689082.mp4,1006093,https://www.dvidshub.net/video/1006093,"field-of-view, zoom",P3,"P2 local source was sampled with display-focused OCR; residual work is manual contact-sheet review, alternate geometry, or denser OCR.",bounded_p2_local_ocr_no_candidate,source-files-not-included/DOD_111689082.mp4,local_source_path_listed_not_redistributed,optional manual contact-sheet review or denser OCR if a stronger absence claim is needed,reuse center/reticle and display-strip ROIs; add case-specific crops before any promotion decision,Bounded P2 local OCR did not promote a visible label; this is not an exhaustive frame-level absence claim.,"Run manual contact-sheet review, alternate label-geometry crops, or denser OCR only if a stronger absence claim is needed; keep derived crops out of Git."
